,videoId,title,description,views,likes,tag,url,duration,publishedAt,comments,combo,vectors,comment_ratio,engagement_ratio,final_rating,subject,channel_title,thumbnail
0,s4jtkzHhLzY,Scrapy for Beginners - A Complete How To Example Web Scraping Project,discord beginners scrapy new python aimed tutorial,267940,5091,scrapy python tutorial scrapy crawlspider scrapy complete tutorial scrapy example scrapy example project scrapy for beginners scrapy get attribute value scrapy how to scrapy json scrapy next page python scrapy multiple pages scrapy pagination scrapy python 3 scrapy shell python tutorial learn python web scraping project web scraping with python online python course python web scraping scrapy python scrapy python web scraping web scraping,https://www.youtube.com/watch?v=s4jtkzHhLzY,1402,2020-12-09 19:00:09,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0]",page scraping python scrapy web multiple shell project json,[[0. 0. 0. ... 0. 0. 0.]],3.25,1.03,3.16,de2,John Watson Rooney,https://i.ytimg.com/vi/s4jtkzHhLzY/maxresdefault.jpg
1,GogxAQ2JP4A,Web Scraping using Scrapy | Scrapy Tutorial + Storing Data to MongoDB 🍃,"1 javascript student course c ++, min ]: css 4 web video [++]: python pack hr ]: web hr ]: angular",46067,1012,,https://www.youtube.com/watch?v=GogxAQ2JP4A,3003,2023-06-21 11:30:04,"[1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]",scraping python 1 c web mongodb css min data javascript scrapy,[[0. 0. 0. ... 0. 0. 0.]],1.31,1.2,1.7,fsd,CodeWithHarry,https://i.ytimg.com/vi/GogxAQ2JP4A/hqdefault.jpg
2,m_3gjHGxIJc,Coding Web Crawler in Python with Scrapy,algorithm outro books proxy learn intro website using web web build python instagram scraping music programming book,111544,2287,python web crawler web crawling python web crawler python web crawling python crawler web scraping web scraper scrapy proxy python web scraper proxy iproyal,https://www.youtube.com/watch?v=m_3gjHGxIJc,2071,2022-11-23 13:30:12,"[0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1]",scraping python web algorithm proxy programming scrapy,[[0. 0. 0. ... 0. 0. 0.]],2.71,1.12,2.77,de2,NeuralNine,https://i.ytimg.com/vi/m_3gjHGxIJc/maxresdefault.jpg
3,41opDqo1im8,Python Scrapy Tutorial for Beginners,beginners try introduction also newbies towards faced scrapy encapsulates learning scrapy caters step tutorial python issues,102,5,python scrapy tutorial for beginners python scrapy tutorial python scrapy for beginners python scrapy scrapy tutorial for beginners scrapy tutorial scrapy for beginners python scrapy web scraping python web scraping web scraping tutorial for beginners web scraping tutorial codequs python web scraping tutorial introduction to scrapy introduction to python scrapy python scraping web scraping python web scraping using python web scraping with scrapy morioh,https://www.youtube.com/watch?v=41opDqo1im8,7140,2023-03-22 06:07:19,[0],scraping python web try learning scrapy,[[0. 0. 0. ... 0. 0. 0.]],0.0,2.67,1.43,de2,jGeek,https://i.ytimg.com/vi/41opDqo1im8/maxresdefault.jpg
4,irqbmMNs2Bo,C Language Tutorial for Beginners (with Notes & Practice Questions),00java live day -- complete class 5000 life input 7 duration --------------------------------------------------- database using bird early 05 34chapter stack types certificate alternate 5 access duration,32553624,499466,C++ C++ coding C++ full course C++ placement course how to code programming college placement course C++ language java java language java full course java placement java code java coding,https://www.youtube.com/watch?v=irqbmMNs2Bo,37927,2022-03-06 18:16:41,"[1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0]",code c full c++ language types alternate programming stack access database life class,[[0. 0. 0. ... 0. 0. 0.]],3.2,0.83,3.02,pf,Apna College,https://i.ytimg.com/vi/irqbmMNs2Bo/maxresdefault.jpg
5,KJgsSFOSQv0,C Programming Tutorial for Beginners,want full course concepts mike programming c give introduction language,12314342,200547,c tutorial c course c programming language c programming language tutorial c programming language tutorial for beginners c programming course C (Programming Language) Programming Language (Software Genre) tutorial beginners programming examples language basics literals data types functions loops arrays pointers structures For Loop While Loop Do While Loop User Input If Switch,https://www.youtube.com/watch?v=KJgsSFOSQv0,13573,2018-08-15 17:52:20,"[0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0]",structures c full language functions types pointers programming data arrays user,[[0. 0. 0. ... 0. 0. 0.]],3.29,0.89,3.12,pf,freeCodeCamp.org,https://i.ytimg.com/vi/KJgsSFOSQv0/maxresdefault.jpg
6,aZb0iu4uGwA,C Language Tutorial for Beginners (With Notes + Surprise) 🔥,source handbook best ecommerce wordpress theme pdf c ++: code premium c,1047536,31836,,https://www.youtube.com/watch?v=aZb0iu4uGwA,36199,2024-07-09 15:25:30,"[1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",wordpress language code c,[[0. 0. 0. ... 0. 0. 0.]],4.03,1.65,4.13,pf,CodeWithHarry,https://i.ytimg.com/vi/aZb0iu4uGwA/maxresdefault.jpg
7,dTp0c41XnrQ,Learn C Language In 10 Minutes!! C Language Tutorial,language c full tutorial 15 media full gcc anyone pointers files printf tutorial,259263,8355,c language full tutorial c language full course c language full tutorial for beginners c language,https://www.youtube.com/watch?v=dTp0c41XnrQ,636,2022-11-12 15:45:10,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",files c full language pointers,[[0. 0. 0. ... 0. 0. 0.]],3.04,1.75,3.38,pf,AmanBytes,https://i.ytimg.com/vi/dTp0c41XnrQ/maxresdefault.jpg
8,DOHD-8smkTs,C Language in Telugu | Complete C Language in 30 minutes | Vamsi Bhavani | A to Z in C Language,advanced video c level concepts completely beginner language programming learn programming different level,3350564,129640,c language in telugu c language c language vamsi bhavani c programming in telugu c programming vamsi bhavani full c language complete c language in telugu programming in telugu c in telugu c full in telugu c language in 30 minutes learn c language c language for beginners,https://www.youtube.com/watch?v=DOHD-8smkTs,1959,2020-07-13 11:01:01,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",advanced c full language programming z,[[0. 0. 0. ... 0. 0. 0.]],2.24,2.11,2.94,pf,Vamsi Bhavani,https://i.ytimg.com/vi/DOHD-8smkTs/maxresdefault.jpg
9,YAdLFsTG70w,5.1 Tree in Data Structure | Introduction to Trees | Data Structures Tutorials,structure computer tree data model discussed logical programming contact printing placement dynamic programming series,1382494,23023,operating system data structure and algorithms what is tree data structure introduction to trees in data structure tree and its terminologies tree definition tree in data structure binary tree and its types types of tree in data structure what is binary tree data structure tutorials ugc net computer science preparation gate cs study material jenny data structures jenny's lecture jennys lectures cs/it NET&JRF what is binary search tree data structures notes,https://www.youtube.com/watch?v=YAdLFsTG70w,1757,2019-10-04 14:49:26,"[1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1]",dynamic trees search structures science types logical programming computer structure tree binary data algorithms operating model system series,[[0. 0. 0. ... 0. 0. 0.]],3.51,0.91,3.31,ads2,Jenny's Lectures CS IT,https://i.ytimg.com/vi/YAdLFsTG70w/maxresdefault.jpg
